scenario_id,condition,investment_depth,order_variant,replication,trajectory_id,family,B_success,A_residue,uptake_correct,recognized_A_residue,behavior_valid,uptake_valid,RAR_upper,semantic_choice,behavior_truncated,uptake_truncated,planning_truncated,history_characters,planning_output_tokens,behavior_input_tokens,uptake_input_tokens,behavior_parse_error,uptake_parse_error
shipping,FRESH_B,1,1,0,f6709d2213be40c0459d0c26,objective,0,0,1,0,1,1,0,birch,False,False,False,641,17,233,281,,
shipping,OTHER_A_JUSTIFY_THEN_B,1,0,0,04fc54ec2a10342cba082fe4,objective,0,0,1,0,1,1,0,elm,False,False,False,895,71,311,359,,
shipping,SELF_A_JUSTIFY_THEN_B,3,0,0,c27759fb063427418809abbb,objective,0,0,1,0,1,1,0,elm,False,False,False,1472,146,461,509,,
shipping,SELF_A_FACTUAL_THEN_B,1,0,0,8064adcec3a16d714eae19f6,objective,1,0,1,0,1,1,0,maple,False,False,False,1001,57,306,354,,
shipping,OTHER_A_JUSTIFY_THEN_B,1,1,0,5c9c25b8dcc79b14c6e212f4,objective,0,1,1,1,1,1,1,cedar,False,False,False,855,59,299,347,,
shipping,SELF_A_JUSTIFY_THEN_B,1,1,0,3b30c1d49836d3f2f9776234,objective,0,1,1,1,1,1,1,cedar,False,False,False,942,73,316,364,,
shipping,OTHER_A_JUSTIFY_THEN_B,3,0,0,cc920d3ff28f7f8c6215257f,objective,0,0,1,0,1,1,0,elm,False,False,False,1408,134,456,504,,
shipping,SELF_A_FACTUAL_THEN_B,1,1,0,78fce2e833599ad04b06d03f,objective,0,1,1,1,1,1,1,cedar,False,False,False,991,51,300,348,,
shipping,SELF_A_JUSTIFY_THEN_B,1,0,0,2ed5dc81e5ed78b149453bae,objective,0,0,1,0,1,1,0,elm,False,False,False,914,70,313,361,,
shipping,SELF_A_JUSTIFY_THEN_B,3,1,0,5af479b69f1640a9d511118c,objective,0,1,1,1,1,1,1,cedar,False,False,False,1495,152,467,515,,
shipping,FRESH_B,1,0,0,9e984937493e8802b51d727f,objective,0,0,1,0,1,1,0,birch,False,False,False,641,17,233,281,,
shipping,OTHER_A_JUSTIFY_THEN_B,0,0,0,9e3f36f53d0842e06614c4da,objective,0,0,1,0,1,1,0,birch,False,False,False,556,0,203,251,,
shipping,FACT_FRESH_Y,3,0,0,0e65b294be4f8e8a25189e9e,factual,1,0,1,0,1,1,0,maple,False,False,False,1339,114,443,487,,
shipping,FRESH_B,0,0,0,ee59b45efbcae8bc34b8704c,objective,0,0,1,0,1,1,0,birch,False,False,False,454,0,181,229,,
shipping,FACT_SELF_X_THEN_Y,3,0,0,48051e301f2af5ef186135e7,factual,1,0,1,0,1,1,0,maple,False,False,False,1639,142,486,530,,
shipping,FRESH_B,3,1,0,ab6a20dcfc70ee1c67e11b63,objective,0,0,1,0,1,1,0,birch,False,False,False,1148,118,410,458,,
shipping,FRESH_B,3,0,0,b4f5d10978415de87f8032fe,objective,0,0,1,0,1,1,0,birch,False,False,False,1177,120,412,460,,
shipping,FACT_FRESH_Y,3,1,0,57ceaeb1f13a3cfa8a3fc2e2,factual,1,0,1,0,1,1,0,maple,False,False,False,1346,116,445,489,,
shipping,OTHER_A_JUSTIFY_THEN_B,3,1,0,685a3c925ea4bdc6e00cb66c,objective,0,1,1,1,1,1,1,cedar,False,False,False,1435,130,452,500,,
shipping,FACT_FRESH_Y,0,0,0,b2baaf9dd695fa95905502d0,factual,1,0,1,0,1,1,0,maple,False,False,False,646,0,218,262,,
shipping,FRESH_B,0,1,0,b45a81a72bdec307c8eba47a,objective,0,0,1,0,1,1,0,birch,False,False,False,454,0,181,229,,
shipping,SELF_A_FACTUAL_THEN_B,3,0,0,6e0f472372965acca70117a7,objective,1,0,1,0,1,1,0,maple,False,False,False,1758,210,534,582,,
shipping,SELF_A_JUSTIFY_THEN_B,0,1,0,c3e59761f22f03d08502af93,objective,0,1,1,1,1,1,1,cedar,False,False,False,613,0,211,259,,
shipping,SELF_A_JUSTIFY_THEN_B,0,0,0,cbea0db9dde1e6b654e6f476,objective,0,0,1,0,1,1,0,birch,False,False,False,613,0,211,259,,
shipping,SELF_A_FACTUAL_THEN_B,3,1,0,091e926dfa0210c0d3e12433,objective,0,1,1,1,1,1,1,cedar,False,False,False,1785,198,522,570,,
shipping,FACT_SELF_X_THEN_Y,0,1,0,2273950116e4e8446ea8c03e,factual,1,0,1,0,1,1,0,maple,False,False,False,753,0,240,284,,
shipping,SELF_A_FACTUAL_THEN_B,0,1,0,15409e575f93afc9294134b3,objective,0,1,1,1,1,1,1,cedar,False,False,False,613,0,211,259,,
shipping,FACT_SELF_X_THEN_Y,3,1,0,3f6af97330a14921e82a7468,factual,1,0,1,0,1,1,0,maple,False,False,False,1594,137,481,525,,
shipping,FACT_FRESH_Y,0,1,0,e6c58d7963b9cc12c6dfc6ee,factual,1,0,1,0,1,1,0,maple,False,False,False,646,0,218,262,,
shipping,FACT_SELF_X_THEN_Y,0,0,0,67b577b6a2b0136b2c57bf8b,factual,1,0,1,0,1,1,0,maple,False,False,False,753,0,240,284,,
shipping,OTHER_A_JUSTIFY_THEN_B,0,1,0,18271a13c9bdf19311e115fb,objective,0,1,1,1,1,1,1,cedar,False,False,False,556,0,203,251,,
shipping,SELF_A_FACTUAL_THEN_B,0,0,0,7fd31eeb20216dbfb2398fad,objective,0,0,1,0,1,1,0,birch,False,False,False,613,0,211,259,,
